category,자연어 질의,sql_pattern_oracle,tables_used,join_keys,notes
fast_<=5s,보험 종류별로 입원 환자 수가 어떻게 되는지 알려줘. 많은 순으로 20개만 보여줘.,"SELECT
  a.insurance,
  COUNT(*) AS hadm_cnt
FROM SSO.ADMISSIONS a
JOIN SSO.PATIENTS p
  ON p.subject_id = a.subject_id
GROUP BY a.insurance
ORDER BY hadm_cnt DESC
FETCH FIRST 20 ROWS ONLY;",SSO.ADMISSIONS;SSO.PATIENTS,subject_id,admissions 범주형 분포(Top-N)
fast_<=5s,"인종/민족별로 입원 환자 수를 세어서, 많은 순으로 30개만 보여줘.","SELECT
  a.race,
  COUNT(*) AS hadm_cnt
FROM SSO.ADMISSIONS a
JOIN SSO.PATIENTS p
  ON p.subject_id = a.subject_id
GROUP BY a.race
ORDER BY hadm_cnt DESC
FETCH FIRST 30 ROWS ONLY;",SSO.ADMISSIONS;SSO.PATIENTS,subject_id,admissions 범주형 분포(Top-N)
fast_<=5s,입원 환자 중에 결혼 상태(marital_status)별로 입원 건수가 얼마나 되는지 많은 순으로 알려줘.,"SELECT
  a.marital_status,
  COUNT(*) AS hadm_cnt
FROM SSO.ADMISSIONS a
JOIN SSO.PATIENTS p
  ON p.subject_id = a.subject_id
GROUP BY a.marital_status
ORDER BY hadm_cnt DESC
FETCH FIRST 20 ROWS ONLY;",SSO.ADMISSIONS;SSO.PATIENTS,subject_id,admissions 범주형 분포(Top-N)
fast_<=5s,"입원한 환자중에서 언어별로 입원 건수를 세고, 많은 순으로 상위 20개를 보여줘","SELECT
  a.language,
  COUNT(*) AS hadm_cnt
FROM SSO.ADMISSIONS a
JOIN SSO.PATIENTS p
  ON p.subject_id = a.subject_id
GROUP BY a.language
ORDER BY hadm_cnt DESC
FETCH FIRST 20 ROWS ONLY;",SSO.ADMISSIONS;SSO.PATIENTS,subject_id,admissions 범주형 분포(Top-N)
fast_<=5s,"입원 유형(응급/예약/기타)별로 입원 건수를 집계해서, 많은 순으로 20개만 보여줘.","SELECT
  a.admission_type,
  COUNT(*) AS hadm_cnt
FROM SSO.ADMISSIONS a
JOIN SSO.PATIENTS p
  ON p.subject_id = a.subject_id
GROUP BY a.admission_type
ORDER BY hadm_cnt DESC
FETCH FIRST 20 ROWS ONLY;",SSO.ADMISSIONS;SSO.PATIENTS,subject_id,admissions 범주형 분포(Top-N)
fast_<=5s,"환자가 어디에서/어떤 경로로 입원했는지(입원 경로)별로 입원 건수를 세고, 많은 순으로 20개 보여줘","SELECT
  a.admission_location,
  COUNT(*) AS hadm_cnt
FROM SSO.ADMISSIONS a
JOIN SSO.PATIENTS p
  ON p.subject_id = a.subject_id
GROUP BY a.admission_location
ORDER BY hadm_cnt DESC
FETCH FIRST 20 ROWS ONLY;",SSO.ADMISSIONS;SSO.PATIENTS,subject_id,admissions 범주형 분포(Top-N)
fast_<=5s,"퇴원할 때 환자가 어디로 갔는지(퇴원 장소/퇴원 형태)별로 입원 건수를 세고, 많은 순으로 20개 보여줘","SELECT
  a.discharge_location,
  COUNT(*) AS hadm_cnt
FROM SSO.ADMISSIONS a
JOIN SSO.PATIENTS p
  ON p.subject_id = a.subject_id
GROUP BY a.discharge_location
ORDER BY hadm_cnt DESC
FETCH FIRST 20 ROWS ONLY;",SSO.ADMISSIONS;SSO.PATIENTS,subject_id,admissions 범주형 분포(Top-N)
fast_<=5s,연령대 구간(18세-39세/40세-64세/65세 이상)별 입원 건수를 집계해줘.,"SELECT
  CASE
    WHEN p.anchor_age BETWEEN 18 AND 39 THEN '18-39'
    WHEN p.anchor_age BETWEEN 40 AND 64 THEN '40-64'
    WHEN p.anchor_age >= 65 THEN '65+'
    ELSE 'UNKNOWN'
  END AS age_band,
  COUNT(DISTINCT a.hadm_id) AS hadm_cnt
FROM SSO.ADMISSIONS a
JOIN SSO.PATIENTS p
  ON p.subject_id = a.subject_id
GROUP BY
  CASE
    WHEN p.anchor_age BETWEEN 18 AND 39 THEN '18-39'
    WHEN p.anchor_age BETWEEN 40 AND 64 THEN '40-64'
    WHEN p.anchor_age >= 65 THEN '65+'
    ELSE 'UNKNOWN'
  END
ORDER BY hadm_cnt DESC;",SSO.ADMISSIONS;SSO.PATIENTS,subject_id,코호트 기술통계(연령대)
fast_<=5s,"나이대(18세–39세, 40세–64세, 65세 이상)별로 입원 중 사망한 비율(병원 사망률)을 알려줘.","SELECT
  CASE
    WHEN p.anchor_age BETWEEN 18 AND 39 THEN '18-39'
    WHEN p.anchor_age BETWEEN 40 AND 64 THEN '40-64'
    WHEN p.anchor_age >= 65 THEN '65+'
    ELSE 'UNKNOWN'
  END AS age_band,
  COUNT(*) AS hadm_cnt,
  AVG(a.hospital_expire_flag) AS hosp_mortality_rate
FROM SSO.ADMISSIONS a
JOIN SSO.PATIENTS p
  ON p.subject_id = a.subject_id
GROUP BY
  CASE
    WHEN p.anchor_age BETWEEN 18 AND 39 THEN '18-39'
    WHEN p.anchor_age BETWEEN 40 AND 64 THEN '40-64'
    WHEN p.anchor_age >= 65 THEN '65+'
    ELSE 'UNKNOWN'
  END
ORDER BY age_band;",SSO.ADMISSIONS;SSO.PATIENTS,subject_id,평균(0/1)=비율
fast_<=5s,입원 유형(응급/예약/긴급 등)별로 병원 사망률이 어떻게 다른지 알려줘.,"SELECT
  a.admission_type,
  COUNT(*) AS hadm_cnt,
  AVG(a.hospital_expire_flag) AS hosp_mortality_rate
FROM SSO.ADMISSIONS a
JOIN SSO.PATIENTS p
  ON p.subject_id = a.subject_id
GROUP BY a.admission_type
ORDER BY hosp_mortality_rate DESC
FETCH FIRST 20 ROWS ONLY;",SSO.ADMISSIONS;SSO.PATIENTS,subject_id,Top-N 비교
fast_<=5s,응급으로 입원한 환자 수가 월별로 어떻게 변했는지 알려줘.,"SELECT
  TRUNC(a.admittime, 'MM') AS admit_month,
  COUNT(*) AS hadm_cnt
FROM SSO.ADMISSIONS a
JOIN SSO.PATIENTS p
  ON p.subject_id = a.subject_id
WHERE a.admission_type = 'EMERGENCY'
GROUP BY TRUNC(a.admittime, 'MM')
ORDER BY admit_month
FETCH FIRST 120 ROWS ONLY;",SSO.ADMISSIONS;SSO.PATIENTS,subject_id,월별 추이
fast_<=5s,예약(선택) 입원한 환자 수가 월별로 어떻게 변했는지 알려줘.,"SELECT
  TRUNC(a.admittime, 'MM') AS admit_month,
  COUNT(*) AS hadm_cnt
FROM SSO.ADMISSIONS a
JOIN SSO.PATIENTS p
  ON p.subject_id = a.subject_id
WHERE a.admission_type = 'ELECTIVE'
GROUP BY TRUNC(a.admittime, 'MM')
ORDER BY admit_month
FETCH FIRST 120 ROWS ONLY;",SSO.ADMISSIONS;SSO.PATIENTS,subject_id,월별 추이
fast_<=5s,긴급 입원한 환자 수가 월별로 어떻게 변했는지 알려줘.,"SELECT
  TRUNC(a.admittime, 'MM') AS admit_month,
  COUNT(*) AS hadm_cnt
FROM SSO.ADMISSIONS a
JOIN SSO.PATIENTS p
  ON p.subject_id = a.subject_id
WHERE a.admission_type = 'URGENT'
GROUP BY TRUNC(a.admittime, 'MM')
ORDER BY admit_month
FETCH FIRST 120 ROWS ONLY;",SSO.ADMISSIONS;SSO.PATIENTS,subject_id,월별 추이
fast_<=5s,고혈압(예: 진단코드가 I10으로 시작) 진단이 있는 입원이 월별로 얼마나 있었는지 알려줘.,"SELECT
  TRUNC(a.admittime, 'MM') AS admit_month,
  COUNT(DISTINCT d.hadm_id) AS hadm_cnt
FROM SSO.DIAGNOSES_ICD d
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = d.hadm_id
WHERE d.icd_code LIKE 'I10%'
GROUP BY TRUNC(a.admittime, 'MM')
ORDER BY admit_month
FETCH FIRST 120 ROWS ONLY;",SSO.D_ICD_DIAGNOSES;SSO.ADMISSIONS,hadm_id,진단 기반 월별 추이
fast_<=5s,심부전(진단코드가 I50으로 시작) 진단이 있는 입원이 월별로 얼마나 있었는지 알려줘.,"SELECT
  TRUNC(a.admittime, 'MM') AS admit_month,
  COUNT(DISTINCT d.hadm_id) AS hadm_cnt
FROM SSO.DIAGNOSES_ICD d
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = d.hadm_id
WHERE d.icd_code LIKE 'I50%'
GROUP BY TRUNC(a.admittime, 'MM')
ORDER BY admit_month
FETCH FIRST 120 ROWS ONLY;",SSO.D_ICD_DIAGNOSES;SSO.ADMISSIONS,hadm_id,진단 기반 월별 추이
fast_<=5s,폐렴(J18으로 시작) 진단이 있는 입원이 월별로 얼마나 있었는지 알려줘.,"SELECT
  TRUNC(a.admittime, 'MM') AS admit_month,
  COUNT(DISTINCT d.hadm_id) AS hadm_cnt
FROM SSO.DIAGNOSES_ICD d
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = d.hadm_id
WHERE d.icd_code LIKE 'J18%'
GROUP BY TRUNC(a.admittime, 'MM')
ORDER BY admit_month
FETCH FIRST 120 ROWS ONLY;",SSO.D_ICD_DIAGNOSES;SSO.ADMISSIONS,hadm_id,진단 기반 월별 추이
fast_<=5s,당뇨(E11으로 시작) 진단이 있는 입원이 월별로 얼마나 있었는지 알려줘.,"SELECT
  TRUNC(a.admittime, 'MM') AS admit_month,
  COUNT(DISTINCT d.hadm_id) AS hadm_cnt
FROM SSO.DIAGNOSES_ICD d
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = d.hadm_id
WHERE d.icd_code LIKE 'E11%'
GROUP BY TRUNC(a.admittime, 'MM')
ORDER BY admit_month
FETCH FIRST 120 ROWS ONLY;",SSO.D_ICD_DIAGNOSES;SSO.ADMISSIONS,hadm_id,진단 기반 월별 추이
fast_<=5s,급성 신부전(N17으로 시작) 진단이 있는 입원이 월별로 얼마나 있었는지 알려줘.,"SELECT
  TRUNC(a.admittime, 'MM') AS admit_month,
  COUNT(DISTINCT d.hadm_id) AS hadm_cnt
FROM SSO.DIAGNOSES_ICD d
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = d.hadm_id
WHERE d.icd_code LIKE 'N17%'
GROUP BY TRUNC(a.admittime, 'MM')
ORDER BY admit_month
FETCH FIRST 120 ROWS ONLY;",SSO.D_ICD_DIAGNOSES;SSO.ADMISSIONS,hadm_id,진단 기반 월별 추이
fast_<=5s,간경변(K74로 시작) 진단이 있는 입원이 월별로 얼마나 있었는지 알려줘.,"SELECT
  TRUNC(a.admittime, 'MM') AS admit_month,
  COUNT(DISTINCT d.hadm_id) AS hadm_cnt
FROM SSO.DIAGNOSES_ICD d
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = d.hadm_id
WHERE d.icd_code LIKE 'K74%'
GROUP BY TRUNC(a.admittime, 'MM')
ORDER BY admit_month
FETCH FIRST 120 ROWS ONLY;",SSO.D_ICD_DIAGNOSES;SSO.ADMISSIONS,hadm_id,진단 기반 월별 추이
fast_<=5s,패혈증(A41로 시작) 진단이 있는 입원이 월별로 얼마나 있었는지 알려줘.,"SELECT
  TRUNC(a.admittime, 'MM') AS admit_month,
  COUNT(DISTINCT d.hadm_id) AS hadm_cnt
FROM SSO.DIAGNOSES_ICD d
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = d.hadm_id
WHERE d.icd_code LIKE 'A41%'
GROUP BY TRUNC(a.admittime, 'MM')
ORDER BY admit_month
FETCH FIRST 120 ROWS ONLY;",SSO.D_ICD_DIAGNOSES;SSO.ADMISSIONS,hadm_id,진단 기반 월별 추이
fast_<=5s,뇌 관련 질환(G93으로 시작) 진단이 있는 입원이 월별로 얼마나 있었는지 알려줘.,"SELECT
  TRUNC(a.admittime, 'MM') AS admit_month,
  COUNT(DISTINCT d.hadm_id) AS hadm_cnt
FROM SSO.DIAGNOSES_ICD d
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = d.hadm_id
WHERE d.icd_code LIKE 'G93%'
GROUP BY TRUNC(a.admittime, 'MM')
ORDER BY admit_month
FETCH FIRST 120 ROWS ONLY;",SSO.D_ICD_DIAGNOSES;SSO.ADMISSIONS,hadm_id,진단 기반 월별 추이
fast_<=5s,폐암(C34로 시작) 진단이 있는 입원이 월별로 얼마나 있었는지 알려줘.,"SELECT
  TRUNC(a.admittime, 'MM') AS admit_month,
  COUNT(DISTINCT d.hadm_id) AS hadm_cnt
FROM SSO.DIAGNOSES_ICD d
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = d.hadm_id
WHERE d.icd_code LIKE 'C34%'
GROUP BY TRUNC(a.admittime, 'MM')
ORDER BY admit_month
FETCH FIRST 120 ROWS ONLY;",SSO.D_ICD_DIAGNOSES;SSO.ADMISSIONS,hadm_id,진단 기반 월별 추이
fast_<=5s,뇌경색(I63으로 시작) 진단이 있는 입원이 월별로 얼마나 있었는지 알려줘.,"SELECT
  TRUNC(a.admittime, 'MM') AS admit_month,
  COUNT(DISTINCT d.hadm_id) AS hadm_cnt
FROM SSO.DIAGNOSES_ICD d
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = d.hadm_id
WHERE d.icd_code LIKE 'I63%'
GROUP BY TRUNC(a.admittime, 'MM')
ORDER BY admit_month
FETCH FIRST 120 ROWS ONLY;",SSO.D_ICD_DIAGNOSES;SSO.ADMISSIONS,hadm_id,진단 기반 월별 추이
fast_<=5s,급성 심근경색(I21로 시작) 진단이 있는 입원이 월별로 얼마나 있었는지 알려줘.,"SELECT
  TRUNC(a.admittime, 'MM') AS admit_month,
  COUNT(DISTINCT d.hadm_id) AS hadm_cnt
FROM SSO.DIAGNOSES_ICD d
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = d.hadm_id
WHERE d.icd_code LIKE 'I21%'
GROUP BY TRUNC(a.admittime, 'MM')
ORDER BY admit_month
FETCH FIRST 120 ROWS ONLY;",SSO.D_ICD_DIAGNOSES;SSO.ADMISSIONS,hadm_id,진단 기반 월별 추이
fast_<=5s,허혈성 심장질환(I25로 시작) 진단이 있는 입원이 월별로 얼마나 있었는지 알려줘.,"SELECT
  TRUNC(a.admittime, 'MM') AS admit_month,
  COUNT(DISTINCT d.hadm_id) AS hadm_cnt
FROM SSO.DIAGNOSES_ICD d
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = d.hadm_id
WHERE d.icd_code LIKE 'I25%'
GROUP BY TRUNC(a.admittime, 'MM')
ORDER BY admit_month
FETCH FIRST 120 ROWS ONLY;",SSO.D_ICD_DIAGNOSES;SSO.ADMISSIONS,hadm_id,진단 기반 월별 추이
fast_<=5s,"COPD(만성폐쇄성폐질환, J44로 시작) 진단이 있는 입원이 월별로 얼마나 있었는지 알려줘.","SELECT
  TRUNC(a.admittime, 'MM') AS admit_month,
  COUNT(DISTINCT d.hadm_id) AS hadm_cnt
FROM SSO.DIAGNOSES_ICD d
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = d.hadm_id
WHERE d.icd_code LIKE 'J44%'
GROUP BY TRUNC(a.admittime, 'MM')
ORDER BY admit_month
FETCH FIRST 120 ROWS ONLY;",SSO.D_ICD_DIAGNOSES;SSO.ADMISSIONS,hadm_id,진단 기반 월별 추이
fast_<=5s,위궤양(K25로 시작) 진단이 있는 입원이 월별로 얼마나 있었는지 알려줘.,"SELECT
  TRUNC(a.admittime, 'MM') AS admit_month,
  COUNT(DISTINCT d.hadm_id) AS hadm_cnt
FROM SSO.DIAGNOSES_ICD d
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = d.hadm_id
WHERE d.icd_code LIKE 'K25%'
GROUP BY TRUNC(a.admittime, 'MM')
ORDER BY admit_month
FETCH FIRST 120 ROWS ONLY;",SSO.D_ICD_DIAGNOSES;SSO.ADMISSIONS,hadm_id,진단 기반 월별 추이
fast_<=5s,만성 신부전(N18로 시작) 진단이 있는 입원이 월별로 얼마나 있었는지 알려줘.,"SELECT
  TRUNC(a.admittime, 'MM') AS admit_month,
  COUNT(DISTINCT d.hadm_id) AS hadm_cnt
FROM SSO.DIAGNOSES_ICD d
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = d.hadm_id
WHERE d.icd_code LIKE 'N18%'
GROUP BY TRUNC(a.admittime, 'MM')
ORDER BY admit_month
FETCH FIRST 120 ROWS ONLY;",SSO.D_ICD_DIAGNOSES;SSO.ADMISSIONS,hadm_id,진단 기반 월별 추이
fast_<=5s,진단 코드가 어떤 체계(버전)로 기록됐는지(예: ICD-9/ICD-10) 비중을 알려줘.,"SELECT
  d.icd_version,
  COUNT(*) AS dx_row_cnt
FROM SSO.DIAGNOSES_ICD d
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = d.hadm_id
GROUP BY d.icd_version
ORDER BY dx_row_cnt DESC
FETCH FIRST 10 ROWS ONLY;",SSO.D_ICD_DIAGNOSES;SSO.ADMISSIONS,hadm_id,코드체계 점검
fast_<=5s,입원 한 건당 시술/처치 코드가 많이 붙은 입원 사례를 상위 50개만 보여줘.,"SELECT
  p.hadm_id,
  COUNT(*) AS proc_cnt
FROM SSO.PROCEDURES_ICD p
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = p.hadm_id
GROUP BY p.hadm_id
ORDER BY proc_cnt DESC
FETCH FIRST 50 ROWS ONLY;",SSO.D_ICD_PROCEDURES;SSO.ADMISSIONS,hadm_id,처치 다양성 탐색
fast_<=5s,입원 중에 내과를 거친 입원이 총 몇 건인지 알려줘.,"SELECT
  COUNT(DISTINCT s.hadm_id) AS hadm_cnt
FROM SSO.SERVICES s
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = s.hadm_id
WHERE s.curr_service = 'MED';",SSO.SERVICES;SSO.ADMISSIONS,hadm_id,서비스별 코호트 크기
fast_<=5s,입원 중에 외과를 거친 입원이 총 몇 건인지 알려줘.,"SELECT
  COUNT(DISTINCT s.hadm_id) AS hadm_cnt
FROM SSO.SERVICES s
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = s.hadm_id
WHERE s.curr_service = 'SURG';",SSO.SERVICES;SSO.ADMISSIONS,hadm_id,서비스별 코호트 크기
fast_<=5s,입원 중에 심장외과를 거친 입원이 총 몇 건인지 알려줘.,"SELECT
  COUNT(DISTINCT s.hadm_id) AS hadm_cnt
FROM SSO.SERVICES s
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = s.hadm_id
WHERE s.curr_service = 'CARDS';",SSO.SERVICES;SSO.ADMISSIONS,hadm_id,서비스별 코호트 크기
fast_<=5s,입원 중에 신경과를 거친 입원이 총 몇 건인지 알려줘.,"SELECT
  COUNT(DISTINCT s.hadm_id) AS hadm_cnt
FROM SSO.SERVICES s
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = s.hadm_id
WHERE s.curr_service = 'NEURO';",SSO.SERVICES;SSO.ADMISSIONS,hadm_id,서비스별 코호트 크기
fast_<=5s,입원 중에 정형외과를 거친 입원이 총 몇 건인지 알려줘.,"SELECT
  COUNT(DISTINCT s.hadm_id) AS hadm_cnt
FROM SSO.SERVICES s
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = s.hadm_id
WHERE s.curr_service = 'ORTHO';",SSO.SERVICES;SSO.ADMISSIONS,hadm_id,서비스별 코호트 크기
fast_<=5s,입원 중에 산부인과를 거친 입원이 총 몇 건인지 알려줘.,"SELECT
  COUNT(DISTINCT s.hadm_id) AS hadm_cnt
FROM SSO.SERVICES s
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = s.hadm_id
WHERE s.curr_service = 'GYN';",SSO.SERVICES;SSO.ADMISSIONS,hadm_id,서비스별 코호트 크기
fast_<=5s,입원 중에 이비인후과를 거친 입원이 총 몇 건인지 알려줘.,"SELECT
  COUNT(DISTINCT s.hadm_id) AS hadm_cnt
FROM SSO.SERVICES s
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = s.hadm_id
WHERE s.curr_service = 'ENT';",SSO.SERVICES;SSO.ADMISSIONS,hadm_id,서비스별 코호트 크기
fast_<=5s,입원 중 어떤 진료과가 가장 많이 진료했는지 상위 20개를 보여줘.,"SELECT
  s.curr_service,
  COUNT(DISTINCT s.hadm_id) AS hadm_cnt
FROM SSO.SERVICES s
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = s.hadm_id
GROUP BY s.curr_service
ORDER BY hadm_cnt DESC
FETCH FIRST 20 ROWS ONLY;",SSO.SERVICES;SSO.ADMISSIONS,hadm_id,서비스 분포
fast_<=5s,입원 중 반코마이신 처방이 있었던 입원이 몇 건인지 알려줘.,"SELECT
  COUNT(DISTINCT p.hadm_id) AS hadm_cnt
FROM SSO.PRESCRIPTIONS p
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = p.hadm_id
WHERE LOWER(p.drug) LIKE '%vancomycin%';",SSO.PRESCRIPTIONS;SSO.ADMISSIONS,hadm_id,약물(주문) 기반 코호트 크기
fast_<=5s,입원 중 세프트리악손 처방이 있었던 입원이 몇 건인지 알려줘.,"SELECT
  COUNT(DISTINCT p.hadm_id) AS hadm_cnt
FROM SSO.PRESCRIPTIONS p
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = p.hadm_id
WHERE LOWER(p.drug) LIKE '%ceftriaxone%';",SSO.PRESCRIPTIONS;SSO.ADMISSIONS,hadm_id,약물(주문) 기반 코호트 크기
fast_<=5s,입원 중 헤파린 처방이 있었던 입원이 몇 건인지 알려줘.,"SELECT
  COUNT(DISTINCT p.hadm_id) AS hadm_cnt
FROM SSO.PRESCRIPTIONS p
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = p.hadm_id
WHERE LOWER(p.drug) LIKE '%heparin%';",SSO.PRESCRIPTIONS;SSO.ADMISSIONS,hadm_id,약물(주문) 기반 코호트 크기
fast_<=5s,입원 중 인슐린 처방이 있었던 입원이 몇 건인지 알려줘,"SELECT
  COUNT(DISTINCT p.hadm_id) AS hadm_cnt
FROM SSO.PRESCRIPTIONS p
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = p.hadm_id
WHERE LOWER(p.drug) LIKE '%insulin%';",SSO.PRESCRIPTIONS;SSO.ADMISSIONS,hadm_id,약물(주문) 기반 코호트 크기
fast_<=5s,입원 중 푸로세미드 처방이 있었던 입원이 몇 건인지 알려줘.,"SELECT
  COUNT(DISTINCT p.hadm_id) AS hadm_cnt
FROM SSO.PRESCRIPTIONS p
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = p.hadm_id
WHERE LOWER(p.drug) LIKE '%furosemide%';",SSO.PRESCRIPTIONS;SSO.ADMISSIONS,hadm_id,약물(주문) 기반 코호트 크기
fast_<=5s,입원 중 노르에피네프린 처방이 있었던 입원이 몇 건인지 알려줘.,"SELECT
  COUNT(DISTINCT p.hadm_id) AS hadm_cnt
FROM SSO.PRESCRIPTIONS p
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = p.hadm_id
WHERE LOWER(p.drug) LIKE '%norepinephrine%';",SSO.PRESCRIPTIONS;SSO.ADMISSIONS,hadm_id,약물(주문) 기반 코호트 크기
fast_<=5s,입원 중 에피네프린 처방이 있었던 입원이 몇 건인지 알려줘.,"SELECT
  COUNT(DISTINCT p.hadm_id) AS hadm_cnt
FROM SSO.PRESCRIPTIONS p
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = p.hadm_id
WHERE LOWER(p.drug) LIKE '%epinephrine%';",SSO.PRESCRIPTIONS;SSO.ADMISSIONS,hadm_id,약물(주문) 기반 코호트 크기
fast_<=5s,"입원 중 바소프레신 처방이 있었던 입원이 몇 건인지 알려줘.
","SELECT
  COUNT(DISTINCT p.hadm_id) AS hadm_cnt
FROM SSO.PRESCRIPTIONS p
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = p.hadm_id
WHERE LOWER(p.drug) LIKE '%vasopressin%';",SSO.PRESCRIPTIONS;SSO.ADMISSIONS,hadm_id,약물(주문) 기반 코호트 크기
fast_<=5s,입원 중 프로포폴 처방이 있었던 입원이 몇 건인지 알려줘.,"SELECT
  COUNT(DISTINCT p.hadm_id) AS hadm_cnt
FROM SSO.PRESCRIPTIONS p
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = p.hadm_id
WHERE LOWER(p.drug) LIKE '%propofol%';",SSO.PRESCRIPTIONS;SSO.ADMISSIONS,hadm_id,약물(주문) 기반 코호트 크기
fast_<=5s,입원 중 미다졸람 처방이 있었던 입원이 몇 건인지 알려줘.,"SELECT
  COUNT(DISTINCT p.hadm_id) AS hadm_cnt
FROM SSO.PRESCRIPTIONS p
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = p.hadm_id
WHERE LOWER(p.drug) LIKE '%midazolam%';",SSO.PRESCRIPTIONS;SSO.ADMISSIONS,hadm_id,약물(주문) 기반 코호트 크기
fast_<=5s,입원 중 모르핀 처방이 있었던 입원이 몇 건인지 알려줘.,"SELECT
  COUNT(DISTINCT p.hadm_id) AS hadm_cnt
FROM SSO.PRESCRIPTIONS p
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = p.hadm_id
WHERE LOWER(p.drug) LIKE '%morphine%';",SSO.PRESCRIPTIONS;SSO.ADMISSIONS,hadm_id,약물(주문) 기반 코호트 크기
fast_<=5s,병원에서 어떤 약이 가장 많이 처방(오더)되는지 상위 30개를 보여줘.,"SELECT
  p.drug,
  COUNT(*) AS rx_cnt
FROM SSO.PRESCRIPTIONS p
JOIN SSO.ADMISSIONS a
  ON a.hadm_id = p.hadm_id
GROUP BY p.drug
ORDER BY rx_cnt DESC
FETCH FIRST 30 ROWS ONLY;",SSO.PRESCRIPTIONS;SSO.ADMISSIONS,hadm_id,처방 상위 약물
